Cell	Cluster	Zone
SRR2967608	1	iSVZ
SRR2967609	1	VZ
SRR2967610	1	iSVZ
SRR2967611	2	VZ
SRR2967612	3	VZ
SRR2967613	3	VZ
SRR2967614	3	VZ
SRR2967615	3	VZ
SRR2967616	3	VZ
SRR2967617	3	VZ
SRR2967618	3	VZ
SRR2967619	2	VZ
SRR2967620	3	VZ
SRR2967621	2	VZ
SRR2967622	1	VZ
SRR2967623	3	VZ
SRR2967624	3	VZ
SRR2967625	3	VZ
SRR2967626	3	VZ
SRR2967627	2	VZ
SRR2967629	2	VZ
SRR2967630	2	VZ
SRR2967631	3	VZ
SRR2967632	3	VZ
SRR2967633	3	VZ
SRR2967634	4	VZ
SRR2967635	2	VZ
SRR2967636	1	iSVZ
SRR2967637	5	VZ
SRR2967638	1	VZ
SRR2967639	2	VZ
SRR2967640	2	VZ
SRR2967641	3	VZ
SRR2967642	1	VZ
SRR2967643	3	VZ
SRR2967644	2	VZ
SRR2967646	2	VZ
SRR2967647	5	VZ
SRR2967648	2	VZ
SRR2967649	2	VZ
SRR2967650	1	VZ
SRR2967651	1	VZ
SRR2967652	3	VZ
SRR2967653	1	VZ
SRR2967654	1	VZ
SRR2967655	3	iSVZ
SRR2967656	1	iSVZ
SRR2967657	2	iSVZ
SRR2967659	3	VZ
SRR2967660	2	iSVZ
SRR2967661	2	VZ
SRR2967662	2	iSVZ
SRR2967663	2	VZ
SRR2967664	1	iSVZ
SRR2967665	5	CP
SRR2967666	2	CP
SRR2967667	1	CP
SRR2967668	1	CP
SRR2967669	1	CP
SRR2967670	5	CP
SRR2967671	5	CP
SRR2967672	1	oSVZ
SRR2967673	3	CP
SRR2967674	1	CP
SRR2967675	2	CP
SRR2967676	3	oSVZ
SRR2967677	2	CP
SRR2967678	2	CP
SRR2967679	1	oSVZ
SRR2967680	1	CP
SRR2967681	1	CP
SRR2967682	5	oSVZ
SRR2967683	5	oSVZ
SRR2967684	1	oSVZ
SRR2967685	3	oSVZ
SRR2967686	1	oSVZ
SRR2967687	1	oSVZ
SRR2967688	2	oSVZ
SRR2967689	2	oSVZ
SRR2967690	1	oSVZ
SRR2967691	1	oSVZ
SRR2967692	2	CP
SRR2967693	3	oSVZ
SRR2967694	1	CP
SRR2967695	3	oSVZ
SRR2967697	1	oSVZ
SRR2967698	3	oSVZ
SRR2967699	2	oSVZ
SRR2967700	3	oSVZ
SRR2967701	3	oSVZ
SRR2967702	1	oSVZ
SRR2967703	1	oSVZ
SRR2967705	3	oSVZ
SRR2967706	5	oSVZ
SRR2967707	1	iSVZ
SRR2967708	2	iSVZ
SRR2967709	3	oSVZ
SRR2967710	2	iSVZ
SRR2967711	1	oSVZ
SRR2967712	3	oSVZ
SRR2967713	3	oSVZ
SRR2967714	2	oSVZ
SRR2967715	2	oSVZ
SRR2967716	1	oSVZ
SRR2967717	1	oSVZ
SRR2967718	5	oSVZ
SRR2967719	5	oSVZ
SRR2967720	1	CP
SRR2967721	3	CP
SRR2967722	2	CP
SRR2967723	3	CP
SRR2967724	2	CP
SRR2967726	1	CP
SRR2967727	1	CP
SRR2967728	2	CP
SRR2967729	1	CP
SRR2967730	3	oSVZ
SRR2967731	2	oSVZ
SRR2967732	3	oSVZ
SRR2967733	2	oSVZ
SRR2967734	3	oSVZ
SRR2967735	2	CP
SRR2967736	2	oSVZ
SRR2967737	1	CP
SRR2967738	1	oSVZ
SRR2967739	2	oSVZ
SRR2967740	2	CP
SRR2967741	3	CP
SRR2967742	2	CP
SRR2967743	2	CP
SRR2967744	3	CP
SRR2967745	1	oSVZ
SRR2967746	2	CP
SRR2967747	1	CP
SRR2967748	6	CP
SRR2967749	1	CP
SRR2967750	3	oSVZ
SRR2967751	3	oSVZ
SRR2967752	1	CP
SRR2967753	1	CP
SRR2967754	5	oSVZ
SRR2967755	1	oSVZ
SRR2967756	3	CP
SRR2967757	5	CP
SRR2967758	1	CP
SRR2967759	3	CP
SRR2967760	2	CP
SRR2967761	2	CP
SRR2967762	3	CP
SRR2967763	1	CP
SRR2967764	2	CP
SRR2967765	3	CP
SRR2967766	1	CP
SRR2967767	1	CP
SRR2967768	5	CP
SRR2967769	5	CP
SRR2967770	3	CP
SRR2967771	1	CP
SRR2967772	7	CP
SRR2967773	7	CP
SRR2967774	7	CP
SRR2967775	7	CP
SRR2967776	7	CP
SRR2967777	7	CP
SRR2967778	2	CP
SRR2967779	7	CP
SRR2967780	7	CP
SRR2967781	7	CP
SRR2967782	3	CP
SRR2967783	2	CP
SRR2967784	7	CP
SRR2967785	2	CP
SRR2967786	7	CP
SRR2967787	2	CP
SRR2967788	7	CP
SRR2967789	7	CP
SRR2967790	7	CP
SRR2967791	1	CP
SRR2967792	7	CP
SRR2967793	7	CP
SRR2967794	2	CP
SRR2967795	7	CP
SRR2967796	7	CP
SRR2967797	7	CP
SRR2967798	7	CP
SRR2967799	7	CP
SRR2967800	7	CP
SRR2967801	2	CP
SRR2967802	7	CP
SRR2967803	1	CP
SRR2967804	7	CP
SRR2967805	7	CP
SRR2967806	7	CP
SRR2967807	7	CP
SRR2967808	7	CP
SRR2967809	7	CP
SRR2967810	2	CP
SRR2967811	1	CP
SRR2967813	1	CP
SRR2967814	7	CP
SRR2967815	1	CP
SRR2967816	7	CP
SRR2967817	7	CP
SRR2967818	7	CP
SRR2967819	7	CP
SRR2967820	2	CP
SRR2967821	1	CP
SRR2967822	7	CP
SRR2967823	7	CP
SRR2967824	1	CP
SRR2967825	2	CP
SRR2967826	1	CP
SRR2967827	1	CP
SRR2967828	7	CP
SRR2967829	1	CP
SRR2967830	1	CP
SRR2967831	1	CP
SRR2967832	7	CP
SRR2967833	7	CP
